iter	MultiClass
0	0.6717524924
1	0.6528846205
2	0.6356532795
3	0.6187212502
4	0.6025352778
5	0.5870368918
6	0.5723902067
7	0.5602648696
8	0.54902119
9	0.5361915939
10	0.525415219
11	0.5153325524
12	0.5074012651
13	0.4998336735
14	0.4908002126
15	0.481399993
16	0.4733659182
17	0.4649361154
18	0.4572176177
19	0.4486286532
20	0.4424128314
21	0.4350611372
22	0.4263231114
23	0.419357229
24	0.4128333562
25	0.4082161051
26	0.4026120423
27	0.3974821117
28	0.3924912054
29	0.3865625229
30	0.3812044117
31	0.3769008087
32	0.3734406156
33	0.3675864852
34	0.3639203104
35	0.3597855433
36	0.3547918773
37	0.3506687802
38	0.3459959095
39	0.3418824802
40	0.3384204082
41	0.3352644056
42	0.3314702655
43	0.3283210935
44	0.3241585144
45	0.3208054101
46	0.3181808593
47	0.3154676372
48	0.3124701803
49	0.309572201
50	0.3064792568
51	0.303978292
52	0.3019429981
53	0.2989992585
54	0.2965643438
55	0.2938704137
56	0.2910897982
57	0.288063926
58	0.2854346361
59	0.2830946487
60	0.2807228171
61	0.2783430821
62	0.2768679058
63	0.2747085414
64	0.2719101189
65	0.2704000617
66	0.2688582697
67	0.2670755215
68	0.2639872646
69	0.2622969779
70	0.2602835444
71	0.2581654811
72	0.2560209163
73	0.2533752752
74	0.2515292722
75	0.2493416771
76	0.2473053757
77	0.2442176122
78	0.2420728097
79	0.2405603837
80	0.2388989421
81	0.2372467732
82	0.2356853407
83	0.2338189383
84	0.232752528
85	0.2300088125
86	0.2282516727
87	0.2267482986
88	0.2254332989
89	0.2241514491
90	0.2230264449
91	0.2212149627
92	0.2191144608
93	0.2173786986
94	0.2162212079
95	0.2143808915
96	0.2127179395
97	0.2118721041
98	0.2099881551
99	0.2086962169
100	0.2078054276
101	0.2061465717
102	0.2053545106
103	0.2044753667
104	0.203483878
105	0.2023105108
106	0.2011894577
107	0.1998404731
108	0.1981746954
109	0.1969893067
110	0.1951866076
111	0.1939187423
112	0.1930074846
113	0.1921545209
114	0.1905043552
