iter	Passed	Remaining
0	7	3866
1	14	3555
2	20	3379
3	27	3430
4	34	3399
5	40	3367
6	47	3356
7	54	3353
8	61	3328
9	68	3352
10	75	3337
11	82	3345
12	89	3340
13	95	3324
14	102	3311
15	109	3297
16	115	3285
17	122	3283
18	129	3274
19	136	3264
20	143	3265
21	150	3267
22	157	3263
23	166	3305
24	173	3303
25	180	3293
26	187	3288
27	194	3281
28	201	3270
29	208	3271
30	215	3264
31	222	3254
32	229	3246
33	236	3247
34	244	3248
35	251	3240
36	258	3232
37	265	3226
38	272	3218
39	278	3207
40	286	3210
41	293	3204
42	301	3200
43	307	3191
44	314	3182
45	321	3171
46	328	3164
47	335	3155
48	341	3144
49	348	3139
50	355	3129
51	362	3122
52	368	3111
53	375	3103
54	382	3094
55	389	3086
56	396	3084
57	403	3076
58	410	3067
59	416	3056
60	423	3048
61	430	3040
62	437	3032
63	443	3022
64	450	3013
65	457	3005
66	465	3007
67	472	2998
68	478	2991
69	485	2982
70	492	2974
71	498	2965
72	505	2958
73	512	2950
74	519	2942
75	525	2934
76	532	2927
77	539	2919
78	546	2911
79	553	2903
80	559	2895
81	566	2888
82	573	2879
83	579	2871
84	586	2862
85	592	2854
86	600	2849
87	607	2842
88	615	2840
89	622	2836
90	630	2835
91	638	2831
92	646	2828
93	653	2823
94	660	2817
95	668	2814
96	676	2809
97	683	2803
98	690	2797
99	697	2788
100	703	2780
101	710	2771
102	716	2762
103	723	2754
104	730	2746
105	736	2739
106	744	2735
107	752	2732
108	760	2727
109	766	2718
110	773	2710
111	780	2702
112	786	2694
113	794	2690
114	803	2688
115	810	2681
116	816	2673
117	823	2666
118	830	2657
119	836	2649
120	843	2640
121	849	2633
122	856	2626
123	863	2619
124	870	2611
125	877	2603
126	883	2596
127	890	2588
128	897	2580
129	904	2575
130	912	2569
131	920	2567
132	929	2564
133	937	2561
134	946	2558
135	955	2556
136	964	2556
137	972	2551
138	980	2547
139	988	2541
140	996	2536
141	1004	2531
142	1013	2530
143	1022	2528
144	1031	2524
145	1039	2520
146	1047	2515
147	1055	2509
148	1062	2503
149	1070	2498
150	1078	2492
151	1085	2486
152	1093	2479
153	1101	2473
154	1108	2468
155	1116	2462
156	1124	2456
157	1132	2450
158	1138	2442
159	1145	2434
160	1164	2452
161	1171	2443
162	1178	2435
163	1185	2428
164	1191	2419
165	1198	2411
166	1204	2402
167	1211	2394
168	1218	2386
169	1224	2377
170	1231	2369
171	1238	2361
172	1244	2352
173	1250	2343
174	1257	2335
175	1265	2329
176	1272	2321
177	1278	2313
178	1285	2305
179	1292	2297
180	1298	2289
181	1306	2282
182	1313	2275
183	1320	2268
184	1327	2260
185	1333	2251
186	1340	2244
187	1347	2235
188	1353	2227
189	1360	2219
190	1367	2212
191	1373	2203
192	1380	2196
193	1387	2187
194	1393	2180
195	1400	2171
196	1406	2163
197	1413	2155
198	1420	2147
199	1426	2140
200	1433	2132
201	1440	2124
202	1446	2116
203	1453	2108
204	1459	2100
205	1466	2092
206	1472	2084
207	1479	2076
208	1485	2068
209	1492	2060
210	1498	2053
211	1505	2045
212	1512	2037
213	1518	2029
214	1525	2021
215	1531	2014
216	1538	2006
217	1545	1999
218	1551	1991
219	1558	1983
220	1565	1976
221	1573	1970
222	1581	1964
223	1587	1956
224	1594	1948
225	1601	1941
226	1607	1933
227	1614	1926
228	1621	1918
229	1627	1910
230	1634	1903
231	1641	1895
232	1647	1888
233	1654	1880
234	1661	1873
235	1668	1866
236	1676	1860
237	1683	1853
238	1691	1846
239	1697	1839
240	1704	1831
241	1711	1824
242	1717	1816
243	1725	1809
244	1731	1802
245	1739	1796
246	1746	1789
247	1753	1781
248	1759	1773
249	1766	1766
250	1773	1759
251	1780	1752
252	1787	1745
253	1794	1737
254	1800	1730
255	1807	1722
256	1814	1715
257	1822	1709
258	1828	1701
259	1835	1694
260	1842	1686
261	1848	1679
262	1855	1671
263	1862	1664
264	1868	1657
265	1875	1649
266	1881	1642
267	1888	1634
268	1895	1627
269	1902	1620
270	1908	1612
