Feature,Importance
nPNA,0.9860924482345581
UNA(gm/day),0.9429056644439697
PNA(gm/day),0.9404671788215637
nPCR (gm/KgBW/day),0.8725531101226807
BUN(mg/dl),0.4341273903846741
24 hr dialysate BUN(mg/dl),0.35613778233528137
24 hr dialysate fluid(L),0.3457605540752411
BWt(kg),0.1327802538871765
Ht (cm),0.082844577729702
SEX,0.07575538009405136
24 hr urine,0.07137571275234222
Fluid change times,0.05464430898427963
night time PD,0.04931650683283806
primary disease subclass,0.049292199313640594
Outflow Vol (cc),0.04180343821644783
0Hr Creatinine D/P,0.040985722094774246
P (mg/dl),0.03531260043382645
24 hr urine BUN(mg/dl),0.032795500010252
4Hr Glucose D/D0,0.032099269330501556
2Hr dialysate Creatinine,0.031879205256700516
BSA (m^2),0.030503153800964355
glucose_total,0.029450813308358192
Net Vol (cc),0.02937486581504345
4Hr dialysate Glucose,0.02868429757654667
No. of bag/day,0.02780282497406006
Inflow Vol (cc),0.027800336480140686
total vol/day,0.025735298171639442
0Hr dialysate Creatinine,0.025595681741833687
24hr urine Cr(mg/dl),0.025552796199917793
AGE,0.024895070120692253
Cr,0.02463156171143055
Serum Cr(mg/dl),0.02423997037112713
glucose_total_n,0.02366635575890541
4Hr dialysate Creatinine,0.02305418811738491
calcium_total,0.022973209619522095
2Hr Glucose D/D0,0.02291540801525116
2Hr dialysate Glucose,0.022910291329026222
Primary disease categories,0.021015318110585213
calcium_total_n,0.020057396963238716
Hbc (g/dl),0.019518407061696053
Tx yr,0.019418781623244286
0Hr dialysate Glucose,0.017592625692486763
Ferritin (ng/ml),0.0174456425011158
W.B.C. (x1000/ul),0.017376305535435677
Hct (%),0.01706867665052414
A.S.T. [GOT] (IU/L),0.01657816395163536
24 hr dialysate Cr(mg/dl),0.016477715224027634
Tsat (%),0.01636502332985401
Platelet (x1000/ul),0.01621735468506813
Fe (ug/dl),0.015738511458039284
A.L.T. [GPT] (IU/L),0.015388666652143002
2nd BUN bf PD (mg/dl),0.014793098904192448
Albumin (gm/dl),0.014775712043046951
4Hr Creatinine D/P,0.014702724292874336
R.B.C. (x10^6/ul),0.014520918019115925
EPO/month,0.01426189299672842
Al (ng/ml),0.014120017178356647
1stBUN bf PD(mg/dl),0.01339042279869318
Glucose,0.013187145814299583
TIBC (ug/dl)民,0.013092391192913055
Total protein (gm/dl),0.012851899489760399
Cr (mg/dl),0.012605341151356697
complication-20,0.012370920740067959
EPO dose,0.01219166349619627
2Hr Creatinine D/P,0.012031284160912037
EPO,0.011615247465670109
TG (mg/dl),0.011457097716629505
MCV (fl),0.01135974284261465
PTH (pg/ml),0.01122194528579712
Uric acid (mg/dl),0.010985979810357094
CTR (%),0.010714051313698292
DPResult,0.010237094946205616
Alkaline-P (IU/L),0.0102008655667305
TB (mg/dl),0.010185597464442253
BLOOD GROUP,0.010102393105626106
TC (mg/dl),0.010071078315377235
other systemic disease-2,0.009969448670744896
complication-29,0.009685376659035683
DM type,0.009627248160541058
complication-0,0.009597101248800755
Na (meq/l),0.009549002163112164
other systemic disease-10,0.008657501079142094
other systemic disease-12,0.00861101783812046
long term PD system,0.008462997153401375
complication-22,0.008441363461315632
active Vit D,0.008417601697146893
complication-30,0.00798291526734829
iCa (mg/dl),0.007791068870574236
HBsAg,0.007629732135683298
complication-23,0.0075977337546646595
K (meq/l),0.007316930219531059
complication-11,0.0072904424741864204
Glucose[AC] (mg/dl),0.007203713059425354
complication-10,0.006666433531790972
DOResult,0.006488594226539135
complication-28,0.006472920533269644
complication-33,0.006177520379424095
Anti-HCV,0.005961181130260229
antihypertensive,0.0057121929712593555
complication-12,0.005652216263115406
Iron therapy,0.005589975975453854
complication-24,0.005215978715568781
complication-17,0.005098338704556227
complication-25,0.004964909981936216
other systemic disease-1,0.004884527530521154
complication-19,0.004825521260499954
complication-3,0.004803850781172514
complication-4,0.004506223369389772
complication-5,0.004437719006091356
complication-15,0.004399437457323074
complication-2,0.0031517096795141697
PTx,0.0031056306324899197
complication-1,0.0030175568535923958
complication-6,0.0030026936437934637
other systemic disease-5,0.002922190586104989
other systemic disease-7,0.002832920290529728
other systemic disease-8,0.002832567086443305
complication-9,0.0025474887806922197
complication-32,0.0025139038916677237
complication-31,0.00219969660975039
other systemic disease-3,0.0020279751624912024
other systemic disease-9,0.001894984976388514
complication-8,0.0017665254417806864
complication-26,0.0015415746020153165
other systemic disease-6,0.0014545801095664501
complication-7,0.001395454746671021
complication-14,0.001315779983997345
complication-21,0.0012287410208955407
infection,0.0012039074208587408
complication-18,0.0009687452693469822
other systemic disease-4,0.0009618228068575263
0Hr Glucose D/D0,0.0
